,M_GAME_MINOR_VERSION,M_SESSION_TIME,TIMESTAMP,M_TRACK_TEMPERATURE,M_TRACK_LENGTH,M_FORECAST_ACCURACY,M_AIR_TEMPERATURE,M_NUM_WEATHER_FORECAST_SAMPLES,M_TRACK_ID,M_WEATHER_FORECAST_SAMPLES_M_SESSION_TYPE,M_TIME_OFFSET,M_WEATHER_FORECAST_SAMPLES_M_WEATHER,M_WEATHER_FORECAST_SAMPLES_M_TRACK_TEMPERATURE,M_TRACK_TEMPERATURE_CHANGE,M_WEATHER_FORECAST_SAMPLES_M_AIR_TEMPERATURE,M_AIR_TEMPERATURE_CHANGE,M_RAIN_PERCENTAGE,M_WEATHER,M_SESSION_UID,M_ZONE_START,M_SESSION_TIME_LEFT,M_SESSION_DURATION
2000000,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.238,236,1080
2000001,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.298,236,1080
2000002,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.353,236,1080
2000003,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.412,236,1080
2000004,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.45,236,1080
2000005,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.495,236,1080
2000006,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.54,236,1080
2000007,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.62,236,1080
2000008,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.69,236,1080
2000009,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.726,236,1080
2000010,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.789,236,1080
2000011,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.831,236,1080
2000012,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.925,236,1080
2000013,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.997,236,1080
2000014,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.0,236,1080
2000015,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.0,236,1080
2000016,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.0,236,1080
2000017,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.0,236,1080
2000018,14,4.089,1642378633,33,4650,0,25,10,28,,,,,,,,,0,1.8444023088311188e+18,0.0,236,1080
2000019,14,4.089,1642378633,33,4650,0,25,10,28,8.0,0.0,0.0,33.0,2.0,25.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000020,14,4.089,1642378633,33,4650,0,25,10,28,8.0,5.0,0.0,33.0,2.0,25.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000021,14,4.089,1642378633,33,4650,0,25,10,28,8.0,10.0,0.0,33.0,2.0,25.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000022,14,4.089,1642378633,33,4650,0,25,10,28,10.0,0.0,0.0,33.0,2.0,25.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000023,14,4.089,1642378633,33,4650,0,25,10,28,10.0,5.0,0.0,33.0,2.0,25.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000024,14,4.089,1642378633,33,4650,0,25,10,28,10.0,10.0,0.0,33.0,2.0,25.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000025,14,4.089,1642378633,33,4650,0,25,10,28,10.0,15.0,0.0,33.0,2.0,25.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000026,14,4.089,1642378633,33,4650,0,25,10,28,10.0,30.0,0.0,32.0,1.0,24.0,1.0,3.0,0,1.8444023088311188e+18,,236,1080
2000027,14,4.089,1642378633,33,4650,0,25,10,28,10.0,45.0,0.0,32.0,2.0,24.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000028,14,4.089,1642378633,33,4650,0,25,10,28,10.0,60.0,0.0,31.0,1.0,24.0,2.0,3.0,0,1.8444023088311188e+18,,236,1080
2000029,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000030,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000031,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000032,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000033,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000034,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000035,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000036,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000037,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000038,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000039,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000040,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000041,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000042,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000043,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000044,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000045,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000046,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000047,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000048,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000049,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
2000050,14,4.089,1642378633,33,4650,0,25,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.8444023088311188e+18,,236,1080
